LINHA,OPERACAO,MES_REFERENCIA,STE_CODIGO,ORI_CODIGO,PRD_CODIGO,PERFIL_ACAO,DIA_CLIENTE,DIA_PRODUTO,DIA_SITE,DIA_PERFIL,MES,ANOMES,DIAS_UTEIS,JORNADA_SEMANAL,PA_CONTRATADA,PA_REAL,HC_ATIVO,HC_ESCALADO,HC_TRABALHO,HC_FERIAS,HC_ABS,MD_TP_DISPONIVEL,LIG_HC,VEN_HC,LIG_VENDA,TICKET_MEDIO,CONSOLIDADO_VENDA_REAL,SEMANA_1_LIG_HC,SEMANA_1_VEN_HC,SEMANA_1_LIG_VENDA,SEMANA_1_HC_TRABALHADO,SEMANA_1_VENDA_TOTAL,SEMANA_1_VENDA_DIA,SEMANA_2_LIG_HC,SEMANA_2_VEN_HC,SEMANA_2_LIG_VENDA,SEMANA_2_HC_TRABALHADO,SEMANA_2_VENDA_TOTAL,SEMANA_2_VENDA_DIA,SEMANA_3_LIG_HC,SEMANA_3_VEN_HC,SEMANA_3_LIG_VENDA,SEMANA_3_HC_TRABALHADO,SEMANA_3_VENDA_TOTAL,SEMANA_3_VENDA_DIA,SEMANA_4_LIG_HC,SEMANA_4_VEN_HC,SEMANA_4_LIG_VENDA,SEMANA_4_HC_TRABALHADO,SEMANA_4_VENDA_TOTAL,SEMANA_4_VENDA_DIA,SEMANA_5_LIG_HC,SEMANA_5_VEN_HC,SEMANA_5_LIG_VENDA,SEMANA_5_HC_TRABALHADO,SEMANA_5_VENDA_TOTAL,SEMANA_5_VENDA_DIA,ORDEM,ORDEM_2,ESPACO_HC,ESPACO_CS,ESPACO_1,ESPACO_2,ESPACO_3,ESPACO_4
11,BB Empréstimo - Empréstimo,2021-10-01T00:00:00,4,43,19,1,BB Empréstimo,Empréstimo,ZL,C,OUTUBRO,202110,25,,0,13,16,16.2,13,2,2.9,0,125,1.2,102.1,2747,413,100,1.3,75.1,14,117,20,115,1.5,77.4,13,97,19,132,1.3,105.2,13,100,17,146,1,151.5,13,77,13,142,0.8,168,13,22,11,3,1,0,0,0,0,0,0
12,BB Empréstimo - Empréstimo,2021-11-01T00:00:00,4,43,19,1,BB Empréstimo,Empréstimo,ZL,C,NOVEMBRO,202111,24,,0,17,20,20.08333333333333,17,2,0.5,0,142,0.7,214.3,2157,282,145,0.7,212.1,17,59,12,155,0.6,249.2,18,67,11,130,0.9,146.2,18,80,16,135,0.6,240.9,17,60,10,145,0.5,317.6,17,16,8,3,1,0,0,0,0,0,0
13,BB Empréstimo - Empréstimo,2021-12-01T00:00:00,4,43,19,1,BB Empréstimo,Empréstimo,ZL,C,DEZEMBRO,202112,21,,0,17,20,19.90476190476191,17,2,0.8,0,165,1.3,130.1,2222,477,179,0.8,215,18,76,15,135,1.7,81.4,17,148,30,165,1.7,97.6,17,147,29,179,0.9,204.7,18,63,16,179,1.2,149.8,18,43,22,3,1,0,0,0,0,0,0
14,BB Empréstimo - Empréstimo,2022-01-01T00:00:00,4,43,19,1,BB Empréstimo,Empréstimo,ZL,C,JANEIRO - Parc,202201,6,,0,14,18,17.5,14,3,2.3,0,196,0.8,253.1,1978,66,195,0.8,231.6,14,60,12,201,0.4,468.2,14,6,6,,,,,,,,,,,,,,,,,,,3,1,0,0,0,0,0,0
15,BB Empréstimo - Empréstimo,2022-01-01T00:00:00,4,43,19,1,BB Empréstimo,Empréstimo,ZL,C,JANEIRO - Obj,202201,21,,16,,17,14,14,3,3,0,154,1.6,97.1,2180,456,145,1.2,120,14,85,17,145,2,73,14,139,28,160,2,80,14,140,28,165,1.2,135,13,79,16,160,1,160,13,13,13,3,2,0,0,0,0,0,0
16,Icatu Sicredi - Seguro,2021-10-01T00:00:00,4,48,78,1,Icatu Sicredi,Seguro,ZL,C,OUTUBRO,202110,20,,,8,9,9.45,8,1,1.7,0,81,1.1,75.8,81,185,53,0.4,129.9,8,18,4,82,1.8,46.9,8,58,15,95,1.3,72.5,9,59,12,95,1.1,85,8,48,10,75,0.3,301.5,8,2,2,7,1,0,0,0,0,0,0
17,Icatu Sicredi - Seguro,2021-11-01T00:00:00,4,48,78,1,Icatu Sicredi,Seguro,ZL,C,NOVEMBRO,202111,20,,,8,9,9.25,8,1,1.2,0,102,1.2,83.7,79,199,116,0.7,173.4,7,20,5,92,1.1,86.2,9,49,10,80,1.2,67.8,8,38,10,113,1.8,63.5,8,71,14,117,1.3,89.4,8,21,11,7,1,0,0,0,0,0,0
18,Icatu Sicredi - Seguro,2021-12-01T00:00:00,4,48,78,1,Icatu Sicredi,Seguro,ZL,C,DEZEMBRO,202112,21,,,8,9,8.952380952380953,8,1,4,0,104,0.9,114.4,80,155,96,0.6,151.9,7,24,5,129,1.2,105,8,49,10,105,1,110,8,40,8,104,0.9,118.2,8,30,8,63,0.8,83.6,8,12,6,7,1,0,0,0,0,0,0
19,Icatu Sicredi - Seguro,2022-01-01T00:00:00,4,48,78,1,Icatu Sicredi,Seguro,ZL,C,JANEIRO - Parc,202201,6,,,7,9,9,7,1,2.1,0,74,1,73.8,82,47,70,0.9,75.6,8,37,7,96,1.4,67,7,10,10,,,,,,,,,,,,,,,,,,,7,1,0,0,0,0,0,0
20,Icatu Sicredi - Seguro,2022-01-01T00:00:00,4,48,78,1,Icatu Sicredi,Seguro,ZL,C,JANEIRO - Obj,202201,21,,8,,8,7.4,7,1,5,0,111,1.1,97.6,80,167,100,0.8,125,7,28,6,110,1.2,90,7,43,9,115,1.3,88,7,46,9,115,1.2,95,7,42,8,120,1.1,110,8,9,9,7,2,0,0,0,0,0,0
